session_id,user_id,entry_page,exit_page,session_duration,device,session_date,traffic_source,category_viewed,is_logged_in,add_to_cart,checkout_start,purchase_completed,linked_order_id,bounce_flag
S00151,U0414,홈,검색,100,desktop,2025-07-06,paid_search,패션,Y,N,N,N,,N
S00152,U0281,홈,장바구니,177,mobile,2025-07-21,paid_search,전자기기,N,Y,N,N,,N
S00153,U0205,검색,홈,227,desktop,2025-07-03,organic_search,식품,Y,N,N,N,,N
S00154,U0217,홈,검색,188,mobile,2025-07-19,crm_push,패션,Y,N,N,N,,N
S00155,U0495,카테고리,홈,310,mobile,2025-07-08,crm_push,전자기기,Y,N,N,N,,N
S00156,U0403,홈,장바구니,139,desktop,2025-07-29,direct,패션,Y,N,N,N,,N
S00157,U0292,검색,장바구니,236,mobile,2025-07-31,organic_search,패션,Y,Y,N,N,,N
S00158,U0319,상품상세,검색,287,tablet,2025-07-01,organic_search,홈리빙,Y,N,N,N,,N
S00159,U0279,상품상세,완료,408,desktop,2025-07-24,social,패션,Y,Y,Y,Y,O00384,N
S00160,U0489,상품상세,검색,162,mobile,2025-07-16,paid_search,뷰티,Y,N,N,N,,N
S00161,U0406,홈,검색,108,desktop,2025-07-31,social,패션,N,N,N,N,,N
S00162,U0434,카테고리,완료,241,mobile,2025-07-07,organic_search,뷰티,Y,N,Y,Y,O00405,N
S00163,U0264,상품상세,완료,378,mobile,2025-07-07,paid_search,전자기기,N,Y,Y,Y,O00409,N
S00164,U0466,홈,검색,94,desktop,2025-07-24,crm_push,홈리빙,Y,N,N,N,,N
S00165,U0007,홈,검색,10,mobile,2025-07-05,organic_search,홈리빙,Y,N,N,N,,Y
S00166,U0052,홈,홈,66,mobile,2025-07-13,crm_push,식품,Y,N,N,N,,N
S00167,U0337,상품상세,홈,158,mobile,2025-07-03,paid_search,식품,Y,N,N,N,,N
S00168,U0321,상품상세,결제,356,mobile,2025-07-31,direct,홈리빙,Y,Y,Y,N,,N
S00169,U0372,홈,홈,33,mobile,2025-07-19,direct,패션,Y,N,N,N,,Y
S00170,U0435,홈,장바구니,92,mobile,2025-07-13,organic_search,패션,Y,N,N,N,,N
S00171,U0375,상품상세,홈,167,mobile,2025-07-09,crm_push,전자기기,Y,N,N,N,,N
S00172,U0017,홈,홈,180,mobile,2025-07-20,paid_search,식품,Y,N,N,N,,N
S00173,U0224,홈,완료,345,desktop,2025-07-05,organic_search,전자기기,N,Y,Y,Y,O00001,N
S00174,U0367,홈,홈,135,mobile,2025-07-24,referral,전자기기,Y,N,N,N,,N
S00175,U0496,상품상세,결제,279,mobile,2025-07-09,crm_push,전자기기,Y,Y,Y,N,,N
S00176,U0276,상품상세,검색,157,desktop,2025-07-12,crm_push,패션,Y,N,N,N,,N
S00177,U0109,홈,검색,10,mobile,2025-07-12,direct,식품,N,N,N,N,,Y
S00178,U0128,검색,검색,127,desktop,2025-07-24,direct,식품,N,N,N,N,,N
S00179,U0129,상품상세,완료,503,desktop,2025-07-30,crm_push,홈리빙,N,Y,Y,Y,O00036,N
S00180,U0388,상품상세,완료,405,desktop,2025-07-01,social,식품,Y,Y,Y,Y,O00045,N
S00181,U0458,카테고리,검색,119,desktop,2025-07-31,crm_push,홈리빙,Y,N,N,N,,N
S00182,U0183,검색,장바구니,169,mobile,2025-07-08,organic_search,홈리빙,Y,Y,N,N,,N
S00183,U0356,검색,검색,117,mobile,2025-07-31,crm_push,패션,Y,N,N,N,,N
S00184,U0058,홈,홈,239,desktop,2025-07-30,direct,패션,Y,N,N,N,,N
S00185,U0009,상품상세,홈,135,mobile,2025-07-03,organic_search,홈리빙,N,N,N,N,,N
S00186,U0274,홈,검색,130,mobile,2025-07-15,direct,식품,Y,N,N,N,,N
S00187,U0423,상품상세,검색,304,tablet,2025-07-26,organic_search,뷰티,Y,N,N,N,,N
S00188,U0368,카테고리,홈,183,desktop,2025-07-01,social,전자기기,Y,N,N,N,,N
S00189,U0460,홈,홈,125,mobile,2025-07-21,direct,식품,Y,N,N,N,,N
S00190,U0495,카테고리,홈,115,mobile,2025-07-28,social,식품,N,N,N,N,,N
S00191,U0060,홈,장바구니,58,mobile,2025-07-03,crm_push,식품,Y,Y,N,N,,N
S00192,U0080,홈,검색,47,mobile,2025-07-01,paid_search,패션,Y,N,N,N,,N
S00193,U0093,상품상세,검색,231,desktop,2025-07-06,paid_search,식품,Y,N,N,N,,N
S00194,U0344,상품상세,장바구니,414,mobile,2025-07-27,crm_push,뷰티,N,Y,Y,N,,N
S00195,U0417,홈,홈,86,mobile,2025-07-06,social,뷰티,Y,N,N,N,,N
S00196,U0244,상품상세,완료,456,desktop,2025-07-13,direct,홈리빙,Y,Y,Y,Y,O00061,N
S00197,U0318,홈,검색,22,tablet,2025-07-14,crm_push,식품,N,N,N,N,,Y
S00198,U0380,홈,장바구니,10,mobile,2025-07-31,paid_search,패션,Y,N,N,N,,Y
S00199,U0343,카테고리,장바구니,23,mobile,2025-07-28,crm_push,뷰티,N,N,N,N,,Y
S00200,U0075,상품상세,완료,600,tablet,2025-07-29,organic_search,전자기기,Y,Y,Y,Y,O00219,N
S00201,U0498,상품상세,검색,287,mobile,2025-07-18,crm_push,패션,Y,N,N,N,,N
S00202,U0191,상품상세,장바구니,326,mobile,2025-07-04,organic_search,식품,Y,Y,N,N,,N
S00203,U0154,상품상세,검색,212,mobile,2025-07-16,organic_search,패션,Y,N,N,N,,N
S00204,U0186,홈,검색,220,desktop,2025-07-03,social,패션,Y,N,N,N,,N
S00205,U0209,검색,결제,177,mobile,2025-07-07,crm_push,패션,Y,N,Y,N,,N
S00206,U0222,상품상세,완료,277,desktop,2025-07-06,organic_search,뷰티,Y,N,Y,Y,O00240,N
S00207,U0036,홈,완료,273,mobile,2025-07-20,referral,뷰티,Y,Y,Y,Y,O00246,N
S00208,U0262,검색,검색,10,mobile,2025-07-03,social,뷰티,N,N,N,N,,Y
S00209,U0496,검색,검색,41,mobile,2025-07-14,paid_search,식품,Y,N,N,N,,N
S00210,U0422,상품상세,완료,389,tablet,2025-07-25,crm_push,뷰티,Y,Y,Y,Y,O00287,N
S00211,U0146,검색,홈,59,mobile,2025-07-01,direct,뷰티,N,N,N,N,,N
S00212,U0238,카테고리,홈,136,tablet,2025-07-14,social,패션,N,N,N,N,,N
S00213,U0230,검색,홈,208,tablet,2025-07-07,direct,뷰티,Y,N,N,N,,N
S00214,U0165,카테고리,홈,118,mobile,2025-07-24,organic_search,패션,Y,N,N,N,,N
S00215,U0132,홈,검색,20,mobile,2025-07-02,social,전자기기,Y,N,N,N,,Y
S00216,U0290,홈,장바구니,107,mobile,2025-07-28,organic_search,전자기기,Y,N,N,N,,N
S00217,U0140,상품상세,검색,197,mobile,2025-07-25,direct,식품,Y,N,N,N,,N
S00218,U0455,홈,장바구니,277,desktop,2025-07-19,paid_search,전자기기,Y,N,N,N,,N
S00219,U0299,홈,홈,97,tablet,2025-07-23,social,패션,Y,N,N,N,,N
S00220,U0072,홈,검색,10,mobile,2025-07-18,social,뷰티,Y,N,N,N,,Y
S00221,U0443,카테고리,홈,210,desktop,2025-07-28,organic_search,전자기기,Y,N,N,N,,N
S00222,U0020,카테고리,홈,161,mobile,2025-07-19,social,전자기기,Y,N,N,N,,N
S00223,U0389,홈,검색,68,mobile,2025-07-01,paid_search,뷰티,Y,N,N,N,,N
S00224,U0366,홈,검색,113,desktop,2025-07-20,organic_search,식품,Y,N,N,N,,N
S00225,U0157,상품상세,검색,225,desktop,2025-07-23,social,전자기기,Y,N,N,N,,N
S00226,U0142,홈,검색,90,mobile,2025-07-10,paid_search,전자기기,N,N,N,N,,N
S00227,U0095,카테고리,홈,153,mobile,2025-07-10,direct,전자기기,Y,N,N,N,,N
S00228,U0222,검색,홈,172,desktop,2025-07-26,direct,식품,N,N,N,N,,N
S00229,U0479,상품상세,장바구니,361,mobile,2025-07-21,organic_search,홈리빙,Y,Y,N,N,,N
S00230,U0239,홈,검색,10,mobile,2025-07-27,crm_push,패션,Y,N,N,N,,Y
S00231,U0022,검색,검색,176,desktop,2025-07-07,crm_push,패션,Y,N,N,N,,N
S00232,U0498,홈,검색,45,mobile,2025-07-08,organic_search,전자기기,Y,N,N,N,,N
S00233,U0098,검색,검색,46,mobile,2025-07-25,direct,전자기기,Y,N,N,N,,N
S00234,U0300,카테고리,홈,173,mobile,2025-07-08,organic_search,패션,N,N,N,N,,N
S00235,U0273,검색,홈,107,mobile,2025-07-26,paid_search,패션,Y,N,N,N,,N
S00236,U0368,홈,홈,115,desktop,2025-07-15,direct,홈리빙,N,N,N,N,,N
S00237,U0358,카테고리,장바구니,212,mobile,2025-07-09,social,식품,Y,Y,N,N,,N
S00238,U0305,홈,홈,32,tablet,2025-07-26,paid_search,패션,Y,N,N,N,,Y
S00239,U0308,카테고리,검색,56,mobile,2025-07-10,organic_search,전자기기,Y,N,N,N,,N
S00240,U0461,홈,홈,142,mobile,2025-07-03,paid_search,전자기기,Y,N,N,N,,N
S00241,U0022,카테고리,검색,318,desktop,2025-07-29,organic_search,식품,Y,N,N,N,,N
S00242,U0429,상품상세,검색,243,mobile,2025-07-09,direct,홈리빙,Y,N,N,N,,N
S00243,U0089,카테고리,결제,313,mobile,2025-07-15,direct,뷰티,Y,Y,Y,N,,N
S00244,U0010,홈,홈,114,mobile,2025-07-31,organic_search,식품,Y,N,N,N,,N
S00245,U0097,상품상세,장바구니,264,desktop,2025-07-16,organic_search,패션,Y,Y,N,N,,N
S00246,U0283,홈,검색,216,desktop,2025-07-12,organic_search,전자기기,Y,N,N,N,,N
S00247,U0382,상품상세,검색,271,mobile,2025-07-24,social,패션,Y,N,N,N,,N
S00248,U0113,카테고리,완료,531,tablet,2025-07-14,social,전자기기,Y,Y,Y,Y,O00298,N
S00249,U0193,홈,검색,135,desktop,2025-07-28,social,전자기기,N,N,N,N,,N
S00250,U0383,홈,홈,106,mobile,2025-07-24,paid_search,식품,N,N,N,N,,N
S00251,U0318,상품상세,완료,409,tablet,2025-07-01,paid_search,패션,Y,Y,Y,Y,O00372,N
S00252,U0272,홈,검색,10,mobile,2025-07-28,organic_search,식품,Y,N,N,N,,Y
S00253,U0430,상품상세,검색,41,mobile,2025-07-04,organic_search,전자기기,Y,N,N,N,,N
S00254,U0264,검색,장바구니,193,mobile,2025-07-11,crm_push,패션,Y,Y,N,N,,N
S00255,U0264,카테고리,검색,10,mobile,2025-07-15,direct,식품,Y,N,N,N,,Y
S00256,U0235,상품상세,장바구니,282,mobile,2025-07-25,crm_push,뷰티,N,Y,N,N,,N
S00257,U0292,상품상세,홈,301,mobile,2025-07-02,organic_search,전자기기,Y,N,N,N,,N
S00258,U0301,상품상세,검색,231,desktop,2025-07-28,organic_search,식품,Y,N,N,N,,N
S00259,U0231,홈,검색,41,desktop,2025-07-07,direct,뷰티,Y,N,N,N,,N
S00260,U0271,카테고리,완료,171,desktop,2025-07-01,social,식품,Y,N,N,Y,O00374,N
S00261,U0098,홈,완료,325,mobile,2025-07-29,social,전자기기,Y,Y,Y,Y,O00407,N
S00262,U0113,검색,검색,88,tablet,2025-07-02,organic_search,패션,Y,N,N,N,,N
S00263,U0192,검색,홈,181,mobile,2025-07-13,social,패션,Y,N,N,N,,N
S00264,U0443,상품상세,장바구니,150,desktop,2025-07-30,paid_search,식품,N,N,N,N,,N
S00265,U0414,검색,완료,246,desktop,2025-07-17,organic_search,홈리빙,N,N,N,Y,O00419,N
S00266,U0100,검색,홈,133,mobile,2025-07-24,organic_search,뷰티,Y,N,N,N,,N
S00267,U0430,홈,검색,82,mobile,2025-07-25,crm_push,식품,Y,N,N,N,,N
S00268,U0177,홈,장바구니,166,mobile,2025-07-25,crm_push,뷰티,Y,Y,N,N,,N
S00269,U0064,카테고리,검색,93,mobile,2025-07-23,organic_search,홈리빙,Y,N,N,N,,N
S00270,U0325,상품상세,완료,424,mobile,2025-07-31,crm_push,식품,N,Y,Y,Y,O00012,N
S00271,U0263,검색,검색,176,mobile,2025-07-08,direct,전자기기,Y,N,N,N,,N
S00272,U0331,홈,장바구니,136,mobile,2025-07-09,social,패션,Y,Y,N,N,,N
S00273,U0071,검색,홈,262,desktop,2025-07-15,crm_push,패션,Y,N,N,N,,N
S00274,U0335,검색,검색,117,mobile,2025-07-26,referral,뷰티,Y,N,N,N,,N
S00275,U0143,홈,검색,10,desktop,2025-07-10,direct,뷰티,N,N,N,N,,Y
S00276,U0262,홈,홈,15,mobile,2025-07-06,direct,전자기기,Y,N,N,N,,Y
S00277,U0446,검색,홈,86,desktop,2025-07-27,crm_push,전자기기,Y,N,N,N,,N
S00278,U0256,카테고리,검색,129,mobile,2025-07-18,social,전자기기,Y,N,N,N,,N
S00279,U0305,카테고리,장바구니,81,mobile,2025-07-01,crm_push,뷰티,Y,N,N,N,,N
S00280,U0103,상품상세,검색,241,desktop,2025-07-01,direct,패션,N,N,N,N,,N
S00281,U0479,홈,검색,44,mobile,2025-07-02,paid_search,뷰티,Y,N,N,N,,N
S00282,U0235,홈,검색,138,mobile,2025-07-14,social,패션,Y,N,N,N,,N
S00283,U0341,홈,홈,80,desktop,2025-07-14,paid_search,홈리빙,Y,N,N,N,,N
